batsmen,bowler,delivery,0s,1s,2s,3s,4s,5s,6s
Aaron Finch,Shakib Al Hasan,2,1,1,1,0,1,0,1
Aaron Finch,Shakib Al Hasan,4,1,1,1,0,1,0,1
Aaron Finch,Siddarth Kaul,1,1,1,1,0,1,0,1
Aaron Finch,Siddarth Kaul,3,1,1,1,0,1,0,1
Aaron Finch,Siddarth Kaul,5,1,1,1,0,1,0,1
Aaron Finch,Sunil Narine,2,1,1,1,0,1,0,1
Aaron Finch,Sunil Narine,3,1,1,1,0,1,0,1
Aaron Finch,Sunil Narine,5,1,1,1,0,1,0,1
Aaron Finch,Sunil Narine,6,1,1,1,0,1,0,1
Aaron Finch,Trent Boult,3,1,1,1,0,1,0,1
Aaron Finch,Trent Boult,5,1,1,1,0,1,0,1
Aaron Finch,Trent Boult,6,1,1,1,0,1,0,1
Aaron Finch,Umesh Yadav,2,1,1,1,0,1,0,1
Aaron Finch,Yuzvendra Chahal,1,1,1,1,0,1,0,1
Aaron Finch,Yuzvendra Chahal,2,1,1,1,0,1,0,1
Aaron Finch,Yuzvendra Chahal,3,1,1,1,0,1,0,1
Aaron Finch,Yuzvendra Chahal,4,1,1,1,0,1,0,1
Aaron Finch,Yuzvendra Chahal,5,1,1,1,0,1,0,1
Ajinkya Rahane,Andre Russell,1,0,0,1,0,0,0,0
Ajinkya Rahane,Andre Russell,2,1,0,2,0,0,0,0
Ajinkya Rahane,Andre Russell,3,2,1,2,0,0,0,0
Ajinkya Rahane,Andre Russell,4,2,1,1,0,0,0,1
Ajinkya Rahane,Andre Russell,5,1,2,1,0,0,0,1
Ajinkya Rahane,Andre Russell,6,1,2,1,0,0,0,1
Ajinkya Rahane,Andrew Tye,1,1,2,1,0,0,0,1
Ajinkya Rahane,Andrew Tye,2,1,1,1,0,0,0,1
Ajinkya Rahane,Andrew Tye,4,1,1,1,0,0,0,1
Ajinkya Rahane,Ankit Rajpoot,1,1,1,1,0,0,0,1
Ajinkya Rahane,Axar Patel,1,1,1,1,0,0,0,1
Ajinkya Rahane,Axar Patel,2,1,1,1,0,0,0,1
Ajinkya Rahane,Axar Patel,3,1,1,1,0,0,0,1
Ajinkya Rahane,Axar Patel,4,1,1,1,0,0,0,1
Ajinkya Rahane,Basil Thampi,3,1,1,1,0,0,0,1
Ajinkya Rahane,Bhuvneshwar Kumar,1,1,1,1,0,0,0,1
Ajinkya Rahane,Bhuvneshwar Kumar,2,1,1,1,0,0,0,1
Ajinkya Rahane,Bhuvneshwar Kumar,5,1,1,1,0,0,0,1
Ajinkya Rahane,Billy Stanlake,2,1,1,1,0,1,0,1
Ajinkya Rahane,Billy Stanlake,3,1,1,1,0,1,0,1
Ajinkya Rahane,Chris Morris,2,1,1,1,0,1,0,1
Ajinkya Rahane,Chris Morris,4,1,1,1,0,1,0,1
Ajinkya Rahane,Chris Morris,6,1,1,1,0,1,0,1
Ajinkya Rahane,Chris Woakes,1,1,2,1,0,1,0,1
Ajinkya Rahane,Chris Woakes,2,1,2,1,0,1,0,1
Ajinkya Rahane,Chris Woakes,3,1,2,1,0,2,0,1
Ajinkya Rahane,Chris Woakes,4,1,1,1,0,2,0,1
Ajinkya Rahane,Chris Woakes,7,1,1,1,0,2,0,1
Ajinkya Rahane,Colin de Grandhomme,2,1,1,1,0,2,0,1
Ajinkya Rahane,Colin de Grandhomme,4,1,1,1,0,2,0,1
Ajinkya Rahane,Colin de Grandhomme,5,1,1,1,0,2,0,1
Ajinkya Rahane,Colin de Grandhomme,6,1,1,1,0,2,0,1
Ajinkya Rahane,Colin de Grandhomme,9,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,1,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,2,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,3,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,4,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,5,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,6,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,7,1,1,1,0,2,0,1
Ajinkya Rahane,Deepak Chahar,8,1,1,1,0,1,0,1
Ajinkya Rahane,Hardik Pandya,1,1,1,1,0,1,0,1
Ajinkya Rahane,Hardik Pandya,2,1,1,1,0,1,0,1
Ajinkya Rahane,Hardik Pandya,3,1,1,1,0,1,0,1
Ajinkya Rahane,Hardik Pandya,4,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,1,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,2,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,3,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,4,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,5,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,6,1,1,1,0,1,0,1
Ajinkya Rahane,Jasprit Bumrah,7,1,1,1,0,1,0,1
Ajinkya Rahane,Javon Searles,1,1,1,1,0,1,0,1
Ajinkya Rahane,Javon Searles,6,1,1,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,1,2,3,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,2,2,3,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,3,2,2,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,4,1,1,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,5,1,1,1,0,1,0,1
Ajinkya Rahane,Krunal Pandya,6,1,2,1,0,1,0,1
Ajinkya Rahane,Kuldeep Yadav,1,2,2,1,0,1,0,1
Ajinkya Rahane,Kuldeep Yadav,2,2,2,1,0,1,0,1
Ajinkya Rahane,Kuldeep Yadav,3,2,1,1,0,1,0,1
Ajinkya Rahane,Kuldeep Yadav,4,2,1,1,0,1,0,1
Ajinkya Rahane,Kuldeep Yadav,5,2,2,1,0,1,0,1
Ajinkya Rahane,Marcus Stoinis,1,2,1,1,0,1,0,1
Ajinkya Rahane,Mayank Markande,1,2,1,1,0,1,0,1
Ajinkya Rahane,Mayank Markande,4,2,1,1,0,1,0,1
Ajinkya Rahane,Mayank Markande,5,2,1,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,1,2,1,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,2,3,1,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,3,1,3,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,4,2,3,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,5,2,3,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,6,1,1,1,0,1,0,1
Ajinkya Rahane,Mitchell McClenaghan,7,1,1,1,0,1,0,1
Ajinkya Rahane,Moeen Ali,2,1,1,1,0,1,0,1
Ajinkya Rahane,Moeen Ali,3,1,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Shami,1,1,1,1,0,2,0,1
Ajinkya Rahane,Mohammed Shami,2,1,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Shami,3,1,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Shami,4,2,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Shami,5,2,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Shami,6,2,2,1,0,1,0,1
Ajinkya Rahane,Mohammed Siraj,1,2,2,1,0,1,0,1
Ajinkya Rahane,Mohammed Siraj,3,2,1,1,0,1,0,1
Ajinkya Rahane,Mohammed Siraj,5,2,2,1,0,1,0,1
Ajinkya Rahane,Mohit Sharma,3,1,2,1,0,1,0,1
Ajinkya Rahane,Mohit Sharma,4,1,2,1,0,1,0,1
Ajinkya Rahane,Mohit Sharma,5,1,2,1,0,1,0,1
Ajinkya Rahane,Mohit Sharma,6,1,1,1,0,1,0,1
Ajinkya Rahane,Mujeeb Ur Rahman,1,1,1,1,0,1,0,1
Ajinkya Rahane,Mujeeb Ur Rahman,3,1,1,1,0,1,0,1
Ajinkya Rahane,Mujeeb Ur Rahman,6,1,1,1,0,1,0,1
Ajinkya Rahane,Mustafizur Rahman,5,1,1,1,0,1,0,1
Ajinkya Rahane,Mustafizur Rahman,6,1,1,1,0,1,0,1
Ajinkya Rahane,Nitish Rana,1,1,1,1,0,1,0,1
Ajinkya Rahane,Nitish Rana,5,1,1,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,1,1,2,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,2,1,2,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,3,1,4,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,4,1,4,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,5,1,2,1,0,1,0,1
Ajinkya Rahane,Piyush Chawla,6,1,2,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,1,1,2,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,2,1,1,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,3,1,1,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,4,1,1,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,5,1,1,1,0,1,0,1
Ajinkya Rahane,Prasidh Krishna,6,1,1,1,0,1,0,1
Ajinkya Rahane,Rahul Tewatia,1,1,2,1,0,1,0,1
Ajinkya Rahane,Rahul Tewatia,2,1,2,1,0,1,0,1
Ajinkya Rahane,Rahul Tewatia,3,1,2,1,0,1,0,1
Ajinkya Rahane,Rahul Tewatia,4,1,1,1,0,1,0,1
Ajinkya Rahane,Rahul Tewatia,5,1,2,1,0,1,0,1
Ajinkya Rahane,Rashid Khan,1,1,1,1,0,1,0,1
Ajinkya Rahane,Rashid Khan,2,1,2,1,0,1,0,1
Ajinkya Rahane,Rashid Khan,3,1,2,1,0,1,0,1
Ajinkya Rahane,Rashid Khan,5,1,1,1,0,1,0,1
Ajinkya Rahane,Rashid Khan,6,1,3,1,0,1,0,1
Ajinkya Rahane,Ravindra Jadeja,2,1,3,1,0,1,0,1
Ajinkya Rahane,Ravindra Jadeja,3,1,3,1,0,1,0,1
Ajinkya Rahane,Ravindra Jadeja,4,1,3,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,1,1,3,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,2,1,3,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,3,1,1,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,4,1,1,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,5,1,1,1,0,1,0,1
Ajinkya Rahane,Sandeep Sharma,6,1,2,1,0,1,0,1
Ajinkya Rahane,Shahbaz Nadeem,1,1,1,1,0,1,0,1
Ajinkya Rahane,Shahbaz Nadeem,3,1,1,1,0,1,0,1
Ajinkya Rahane,Shahbaz Nadeem,4,2,1,1,0,1,0,1
Ajinkya Rahane,Shahbaz Nadeem,5,2,2,1,0,1,0,1
Ajinkya Rahane,Shahbaz Nadeem,6,2,2,1,0,1,0,1
Ajinkya Rahane,Shakib Al Hasan,1,1,2,1,0,1,0,1
Ajinkya Rahane,Shakib Al Hasan,2,1,2,1,0,1,0,1
Ajinkya Rahane,Shakib Al Hasan,3,1,1,1,0,2,0,1
Ajinkya Rahane,Shakib Al Hasan,4,1,3,1,0,2,0,1
Ajinkya Rahane,Shakib Al Hasan,5,1,2,1,0,2,0,1
Ajinkya Rahane,Shakib Al Hasan,6,1,1,1,0,1,0,1
Ajinkya Rahane,Shardul Thakur,1,1,1,1,0,1,0,1
Ajinkya Rahane,Shardul Thakur,4,1,1,1,0,1,0,1
Ajinkya Rahane,Shivam Mavi,3,1,1,1,0,1,0,1
Ajinkya Rahane,Shivam Mavi,4,1,1,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,1,1,2,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,2,1,2,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,3,1,2,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,4,1,2,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,5,1,2,1,0,1,0,1
Ajinkya Rahane,Siddarth Kaul,6,2,1,1,0,1,0,1
Ajinkya Rahane,Sunil Narine,1,2,2,1,0,1,0,1
Ajinkya Rahane,Sunil Narine,2,1,1,1,0,1,0,1
Ajinkya Rahane,Sunil Narine,3,1,1,1,0,1,0,1
Ajinkya Rahane,Sunil Narine,4,1,1,1,0,1,0,1
Ajinkya Rahane,Sunil Narine,5,1,1,1,0,1,0,1
